user_id,date,event_type,channel,amount
U001,2026-07-01,login,app,0
U001,2026-07-01,payment,app,1200
U002,2026-07-01,login,app,0
U002,2026-07-01,payment,app,800
U003,2026-07-01,login,web,0
U004,2026-07-02,login,app,0
U004,2026-07-02,payment,app,1500
U005,2026-07-02,login,web,0
U001,2026-07-03,login,app,0
U001,2026-07-03,payment,app,900
U002,2026-07-03,login,app,0
U003,2026-07-03,login,web,0
U003,2026-07-03,payment,web,700
U006,2026-07-04,login,app,0
U006,2026-07-04,payment,app,1100
U002,2026-07-05,login,app,0
U002,2026-07-05,payment,app,1300
U004,2026-07-05,login,app,0
U005,2026-07-05,login,web,0
U005,2026-07-05,payment,web,600
U001,2026-07-06,login,app,0
U003,2026-07-06,login,web,0
U003,2026-07-06,payment,web,950
U007,2026-07-06,login,app,0
U007,2026-07-06,payment,app,1400
U002,2026-07-07,login,app,0
U004,2026-07-07,login,app,0
U004,2026-07-07,payment,app,1250
U006,2026-07-08,login,app,0
U006,2026-07-08,payment,app,1000
U001,2026-07-09,login,app,0
U001,2026-07-09,payment,app,1150
U005,2026-07-09,login,web,0
U007,2026-07-10,login,app,0
U007,2026-07-10,payment,app,1600
U008,2026-07-07,login,web,0
U008,2026-07-09,login,web,0
U009,2026-07-08,login,app,0
U009,2026-07-10,login,app,0
